Submitted_name,Accepted_name,Accepted_TSN,Order,Family,Genus,Species
Tricoryhyphes,Tricoryhyphes,609513,Ephemeroptera,Leptohyphidae,Tricoryhyphes,NA
Acricotopus,Acricotopus,128463,Diptera,Chironomidae,Acricotopus,NA
Callibaetis ferrugineus,Callibaetis ferrugineus,100918,Ephemeroptera,Baetidae,Callibaetis,Callibaetis ferrugineus
Trichoclinocera,Trichoclinocera,135903,Diptera,Empididae,Trichoclinocera,NA
Chimarra,Chimarra,115273,Trichoptera,Philopotamidae,Chimarra,NA
Enochrus hamiltoni,Enochrus hamiltoni,112984,Coleoptera,Hydrophilidae,Enochrus,Enochrus hamiltoni
Ithytrichia,Ithytrichia,115823,Trichoptera,Hydroptilidae,Ithytrichia,NA
Baetis flavistriga,Baetis flavistriga,100835,Ephemeroptera,Baetidae,Baetis,Baetis flavistriga
Camelobaetidius,Camelobaetidius,568548,Ephemeroptera,Baetidae,Camelobaetidius,NA
Paracladopelma,Paracladopelma,129597,Diptera,Chironomidae,Paracladopelma,NA
Paraphaenocladius,Paraphaenocladius,128989,Diptera,Chironomidae,Paraphaenocladius,NA
Isoperla longiseta,Isoperla longiseta,103030,Plecoptera,Perlodidae,Isoperla,Isoperla longiseta
Aeshna umbrosa occidentalis,Aeshna umbrosa occidentalis,593422,Odonata,Aeshnidae,Aeshna,Aeshna umbrosa occidentalis
Enallagma clausum,Enallagma clausum,102132,Odonata,Coenagrionidae,Enallagma,Enallagma clausum
Amphiagrion,Amphiagrion,102093,Odonata,Coenagrionidae,Amphiagrion,NA
Hesperophylax designatus,Hesperophylax designatus,116008,Trichoptera,Limnephilidae,Hesperophylax,Hesperophylax designatus
Culoptila cantha,Culoptila cantha,115238,Trichoptera,Glossosomatidae,Culoptila,Culoptila cantha
Lispoides,Lispoides,150805,Diptera,Muscidae,Lispoides,NA
Chauliodes,Chauliodes,115024,Megaloptera,Corydalidae,Chauliodes,NA
Wiedemannia,Wiedemannia,135920,Diptera,Empididae,Wiedemannia,NA
Paratanytarsus,Paratanytarsus,129935,Diptera,Chironomidae,Paratanytarsus,NA
Brachycentrus,Brachycentrus,116906,Trichoptera,Brachycentridae,Brachycentrus,NA
Maruina,Maruina,125392,Diptera,Psychodidae,Maruina,NA
Donacia hirticollis,Donacia hirticollis,114518,Coleoptera,Chrysomelidae,Donacia,Donacia hirticollis
Cricotopus nostocicola,Cricotopus nostocicola,128628,Diptera,Chironomidae,Cricotopus,Cricotopus nostocicola
Coenagrion,Coenagrion,102155,Odonata,Coenagrionidae,Coenagrion,NA
Diplocladius,Diplocladius,128670,Diptera,Chironomidae,Diplocladius,NA
Cardiocladius,Cardiocladius,128511,Diptera,Chironomidae,Cardiocladius,NA
Skwala,Skwala,103102,Plecoptera,Perlodidae,Skwala,NA
Optioservus,Optioservus,114177,Coleoptera,Elmidae,Optioservus,NA
Isogenoides elongatus,Isogenoides elongatus,103130,Plecoptera,Perlodidae,Isogenoides,Isogenoides elongatus
Psorophora,Psorophora,126538,Diptera,Culicidae,Psorophora,NA
Atherix,Atherix,130929,Diptera,Athericidae,Atherix,NA
Dubiraphia quadrinotata,Dubiraphia quadrinotata,114130,Coleoptera,Elmidae,Dubiraphia,Dubiraphia quadrinotata
Silvius,Silvius,131062,Diptera,Tabanidae,Silvius,NA
Heptagenia elegantula,Heptagenia elegantula,100604,Ephemeroptera,Heptageniidae,Heptagenia,Heptagenia elegantula
Rhantus,Rhantus,112086,Coleoptera,Dytiscidae,Rhantus,NA
Gerris buenoi,Gerris buenoi,103842,Hemiptera,Gerridae,Gerris,Gerris buenoi
Enochrus pygmaeus,Enochrus pygmaeus,112993,Coleoptera,Hydrophilidae,Enochrus,Enochrus pygmaeus
Capnia,Capnia,102688,Plecoptera,Capniidae,Capnia,NA
Somatochlora,Somatochlora,101947,Odonata,Corduliidae,Somatochlora,NA
Lara,Lara,114137,Coleoptera,Elmidae,Lara,NA
Culex pipiens,Culex pipiens,126488,Diptera,Culicidae,Culex,Culex pipiens
Odontomesa,Odontomesa,128446,Diptera,Chironomidae,Odontomesa,NA
Aeshna interrupta,Aeshna interrupta,185979,Odonata,Aeshnidae,Aeshna,Aeshna interrupta
Probezzia,Probezzia,127729,Diptera,Ceratopogonidae,Probezzia,NA
Enallagma ebrium,Enallagma ebrium,102128,Odonata,Coenagrionidae,Enallagma,Enallagma ebrium
Epitheca,Epitheca,102035,Odonata,Corduliidae,Epitheca,NA
Stylurus intricatus,Stylurus intricatus,593020,Odonata,Gomphidae,Stylurus,Stylurus intricatus
Hesperophylax magnus,Hesperophylax magnus,116004,Trichoptera,Limnephilidae,Hesperophylax,Hesperophylax magnus
Capnia gracilaria,Capnia gracilaria,102712,Plecoptera,Capniidae,Capnia,Capnia gracilaria
Trichocorixa,Trichocorixa,103423,Hemiptera,Corixidae,Trichocorixa,NA
Peltodytes edentulus,Peltodytes edentulus,111936,Coleoptera,Haliplidae,Peltodytes,Peltodytes edentulus
Cheumatopsyche pettiti,Cheumatopsyche pettiti,115426,Trichoptera,Hydropsychidae,Cheumatopsyche,Cheumatopsyche pettiti
Mystacides,Mystacides,116598,Trichoptera,Leptoceridae,Mystacides,NA
Siphlonurus columbianus,Siphlonurus columbianus,100954,Ephemeroptera,Siphlonuridae,Siphlonurus,Siphlonurus columbianus
Chaoborus,Chaoborus,125904,Diptera,Chaoboridae,Chaoborus,NA
Sympetrum corruptum,Sympetrum corruptum,101978,Odonata,Libellulidae,Sympetrum,Sympetrum corruptum
Cheumatopsyche oxa,Cheumatopsyche oxa,115424,Trichoptera,Hydropsychidae,Cheumatopsyche,Cheumatopsyche oxa
Wormaldia,Wormaldia,115258,Trichoptera,Philopotamidae,Wormaldia,NA
Enallagma boreale,Enallagma boreale,102121,Odonata,Coenagrionidae,Enallagma,Enallagma boreale
Cricotopus trifascia,Cricotopus trifascia,128659,Diptera,Chironomidae,Cricotopus,Cricotopus trifascia
Ptychoptera,Ptychoptera,125786,Diptera,Ptychopteridae,Ptychoptera,NA
Neureclipsis,Neureclipsis,117095,Trichoptera,Polycentropodidae,Neureclipsis,NA
Pericoma,Pericoma,125514,Diptera,Psychodidae,Pericoma,NA
Stratiomys,Stratiomys,130627,Diptera,Stratiomyidae,Stratiomys,NA
Laccophilus fasciatus terminalis,Laccophilus fasciatus terminalis,112284,Coleoptera,Dytiscidae,Laccophilus,Laccophilus fasciatus terminalis
Liodessus fuscatus,Liodessus fuscatus,112584,Coleoptera,Dytiscidae,Liodessus,Liodessus fuscatus
Paraperla,Paraperla,103233,Plecoptera,Chloroperlidae,Paraperla,NA
Ischnura,Ischnura,102078,Odonata,Coenagrionidae,Ischnura,NA
Rheocricotopus,Rheocricotopus,129086,Diptera,Chironomidae,Rheocricotopus,NA
Trepobates,Trepobates,103811,Hemiptera,Gerridae,Trepobates,NA
Argia apicalis,Argia apicalis,102140,Odonata,Coenagrionidae,Argia,Argia apicalis
Sigara alternata,Sigara alternata,103370,Hemiptera,Corixidae,Sigara,Sigara alternata
Parydra,Parydra,147388,Diptera,Ephydridae,Parydra,NA
Triznaka pintada,Triznaka pintada,103309,Plecoptera,Chloroperlidae,Triznaka,Triznaka pintada
Psychoglypha,Psychoglypha,115974,Trichoptera,Limnephilidae,Psychoglypha,NA
Chironomus,Chironomus,129254,Diptera,Chironomidae,Chironomus,NA
Pagastia,Pagastia,128401,Diptera,Chironomidae,Pagastia,NA
Cheumatopsyche,Cheumatopsyche,115408,Trichoptera,Hydropsychidae,Cheumatopsyche,NA
Nilotanypus,Nilotanypus,128202,Diptera,Chironomidae,Nilotanypus,NA
Arigomphus,Arigomphus,101770,Odonata,Gomphidae,Arigomphus,NA
