Order (+Chiron subfamily),Genus/family,Rush1,Rush2,Rush3,Rush4,Rush5,SFC1,SFC2,SFC3,SFC4,SFC5,Tyn1,Tyn2,Tyn3,Tyn4,Tyn5,Gull1,Gull2,Gull3,Gull4,Gull5,BBN1,BBN2,BBN3,BBN4,BBN5,Car1,Car2,Car3,Car4,Car5,Nun1,Nun2,Nun3,Nun4,Nun5,Viv1,Viv2,Viv3,Viv4,Viv5,WPC1,WPC2,WPC3,WPC4,WPC5,NFS1,NFS2,NFS3,NFS4,NFS5,Oys1,Oys2,Oys3,Oys4,Oys5,Tar1,Tar2,Tar3,Tar4,Tar5,CarE1,CarE2,CarE3,CarE4,CarE5,BBS1,BBS2,BBS3,BBS4,BBS5,Ice1,Ice2,Ice3,Ice4,Ice5,Reid1,Reid2,Reid3,Reid4,Reid5
Others,Collembola (terrest?),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Others,Hydracarina,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diptera_Orth,Paralimnophyes/Brillia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diptera_Orth,Orthocladiinae subfamily ID only,0,0,0,0,1,1,0,0,3,1,0,0,1,0,0,3,0,5,1,0,2,3,8,0,3,0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
Diptera_Orth,Orthocladius/Cricotopus,0,0,1,0,4,7,31,19,7,2,0,0,0,0,0,54,45,132,97,69,16,26,43,23,13,0,0,0,0,1,0,5,2,10,1,0,1,0,0,0,77,57,95,45,28,1,2,4,18,3,6,13,18,14,256,0,0,0,1,92,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,6,12
Diptera_Orth,Cricotopus,0,0,1,0,1,216,87,431,89,24,0,0,0,0,0,130,134,397,361,222,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,2,0,12,132,96,75,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Diptera_Orth,Paratrichocladius,0,1,1,1,12,47,32,120,35,2,1,0,0,0,0,4,15,1,6,0,4,0,0,0,1,0,0,0,0,0,0,2,3,8,9,0,0,0,0,0,4,3,0,1,0,6,3,23,43,8,0,0,0,5,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,1
Diptera_Orth,Euorthocladius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,37,113,54,78,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diptera_Orth,Synorthocladius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diptera_Orth,Parorthocladius,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diptera_Orth,Brillia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Diptera_Orth,Corynoneura,0,0,0,0,1,0,0,0,0,0,2,1,1,0,3,4,7,2,6,1,7,0,4,5,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diptera_Orth,Eukiefferiella,0,0,2,2,2,185,53,109,62,12,0,0,1,0,0,5,10,3,30,9,42,42,21,84,11,14,4,1,5,7,0,1,7,16,10,0,1,1,0,0,3,5,11,9,3,2,1,7,9,2,0,1,0,0,1,0,0,0,4,4,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,2,1,0,2,5
Diptera_Orth,Eukiefferiella/Tvetenia,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,1,2,0,0,2,0,0,0,0,0,0,3,13,5,7,163,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,2,33,4,0
Diptera_Orth,Tvetenia,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,10,21,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Diptera_Orth,Diplocladius,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diptera_Orth,Camptocladius/Pseudosmittia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
